Input,Score,PPI
8bqg-model-40,0.1966,8bqg-model-40_A_Z
8bqg-model-41,0.2467,8bqg-model-41_A_Z
8bqg-model-42,0.2476,8bqg-model-42_A_Z
8bqg-model-43,0.2629,8bqg-model-43_A_Z
8bqg-model-44,0.2274,8bqg-model-44_A_Z
8bqg-model-45,0.148,8bqg-model-45_A_Z
8bqg-model-46,0.2678,8bqg-model-46_A_Z
8bqg-model-47,0.3176,8bqg-model-47_A_Z
8bqg-model-48,0.1235,8bqg-model-48_A_Z
8bqg-model-49,0.2379,8bqg-model-49_A_Z
8bqg-model-5,0.1283,8bqg-model-5_A_Z
8bqg-model-50,0.2274,8bqg-model-50_A_Z
8bqg-model-51,0.2053,8bqg-model-51_A_Z
8bqg-model-52,0.2252,8bqg-model-52_A_Z
8bqg-model-53,0.1514,8bqg-model-53_A_Z
8bqg-model-54,0.1227,8bqg-model-54_A_Z
8bqg-model-55,0.275,8bqg-model-55_A_Z
8bqg-model-56,0.2041,8bqg-model-56_A_Z
8bqg-model-57,0.2597,8bqg-model-57_A_Z
8bqg-model-58,0.2274,8bqg-model-58_A_Z
8bqg-model-59,0.1567,8bqg-model-59_A_Z
8bqg-model-6,0.2526,8bqg-model-6_A_Z
8bqg-model-60,0.2504,8bqg-model-60_A_Z
8bqg-model-61,0.1626,8bqg-model-61_A_Z
8bqg-model-62,0.318,8bqg-model-62_A_Z
8bqg-model-63,0.1272,8bqg-model-63_A_Z
8bqg-model-64,0.1262,8bqg-model-64_A_Z
8bqg-model-65,0.2298,8bqg-model-65_A_Z
8bqg-model-66,0.2274,8bqg-model-66_A_Z
8bqg-model-67,0.2267,8bqg-model-67_A_Z
8bqg-model-68,0.1417,8bqg-model-68_A_Z
8bqg-model-69,0.2297,8bqg-model-69_A_Z
8bqg-model-7,0.216,8bqg-model-7_A_Z
8bqg-model-70,0.0884,8bqg-model-70_A_Z
8bqg-model-71,0.1382,8bqg-model-71_A_Z
8bqg-model-72,0.1478,8bqg-model-72_A_Z
8bqg-model-73,0.3144,8bqg-model-73_A_Z
8bqg-model-74,0.1897,8bqg-model-74_A_Z
8bqg-model-75,0.1747,8bqg-model-75_A_Z
8bqg-model-76,0.1046,8bqg-model-76_A_Z
8bqg-model-77,0.194,8bqg-model-77_A_Z
8bqg-model-78,0.127,8bqg-model-78_A_Z
8bqg-model-79,0.2301,8bqg-model-79_A_Z
8bqg-model-8,0.0817,8bqg-model-8_A_Z
8bqg-model-80,0.104,8bqg-model-80_A_Z
8bqg-model-81,0.2073,8bqg-model-81_A_Z
8bqg-model-82,0.2411,8bqg-model-82_A_Z
8bqg-model-83,0.2693,8bqg-model-83_A_Z
8bqg-model-84,0.1918,8bqg-model-84_A_Z
8bqg-model-85,0.1124,8bqg-model-85_A_Z
8bqg-model-86,0.2009,8bqg-model-86_A_Z
8bqg-model-87,0.2408,8bqg-model-87_A_Z
8bqg-model-88,0.2274,8bqg-model-88_A_Z
8bqg-model-89,0.0578,8bqg-model-89_A_Z
8bqg-model-9,0.0924,8bqg-model-9_A_Z
8bqg-model-90,0.1002,8bqg-model-90_A_Z
8bqg-model-91,0.1273,8bqg-model-91_A_Z
8bqg-model-92,0.1871,8bqg-model-92_A_Z
8bqg-model-93,0.6712,8bqg-model-93_A_Z
8bqg-model-94,0.2575,8bqg-model-94_A_Z
8bqg-model-95,0.1127,8bqg-model-95_A_Z
8bqg-model-96,0.2737,8bqg-model-96_A_Z
8bqg-model-97,0.3914,8bqg-model-97_A_Z
8bqg-model-98,0.2134,8bqg-model-98_A_Z
8bqg-model-99,0.1793,8bqg-model-99_A_Z
8br9-model-1,0.0842,8br9-model-1_A_Z
8br9-model-10,0.2422,8br9-model-10_A_Z
8br9-model-100,0.1166,8br9-model-100_A_Z
8br9-model-11,0.2607,8br9-model-11_A_Z
8br9-model-12,0.0869,8br9-model-12_A_Z
8br9-model-13,0.3256,8br9-model-13_A_Z
8br9-model-14,0.2172,8br9-model-14_A_Z
8br9-model-15,0.2699,8br9-model-15_A_Z
8br9-model-16,0.2461,8br9-model-16_A_Z
8br9-model-17,0.1182,8br9-model-17_A_Z
8br9-model-18,0.1146,8br9-model-18_A_Z
8br9-model-19,0.1611,8br9-model-19_A_Z
8br9-model-2,0.2122,8br9-model-2_A_Z
8br9-model-20,0.4018,8br9-model-20_A_Z
8br9-model-21,0.2053,8br9-model-21_A_Z
8br9-model-22,0.3139,8br9-model-22_A_Z
8br9-model-23,0.1544,8br9-model-23_A_Z
8br9-model-24,0.1145,8br9-model-24_A_Z
8br9-model-25,0.1131,8br9-model-25_A_Z
8br9-model-26,0.1233,8br9-model-26_A_Z
8br9-model-27,0.0859,8br9-model-27_A_Z
8br9-model-28,0.1949,8br9-model-28_A_Z
8br9-model-29,0.1449,8br9-model-29_A_Z
8br9-model-3,0.1346,8br9-model-3_A_Z
8br9-model-30,0.6439,8br9-model-30_A_Z
8br9-model-31,0.0846,8br9-model-31_A_Z
8br9-model-32,0.1875,8br9-model-32_A_Z
8br9-model-33,0.0584,8br9-model-33_A_Z
8br9-model-34,0.2436,8br9-model-34_A_Z
8br9-model-35,0.145,8br9-model-35_A_Z
8br9-model-36,0.1443,8br9-model-36_A_Z
8br9-model-37,0.5093,8br9-model-37_A_Z
8br9-model-38,0.1249,8br9-model-38_A_Z
8br9-model-39,0.2421,8br9-model-39_A_Z
8br9-model-4,0.4006,8br9-model-4_A_Z
8br9-model-40,0.1464,8br9-model-40_A_Z
8br9-model-41,0.0981,8br9-model-41_A_Z
8br9-model-42,0.0871,8br9-model-42_A_Z
8br9-model-43,0.1095,8br9-model-43_A_Z
8br9-model-44,0.1345,8br9-model-44_A_Z
8br9-model-45,0.0791,8br9-model-45_A_Z
8br9-model-46,0.2548,8br9-model-46_A_Z
8br9-model-47,0.2395,8br9-model-47_A_Z
8br9-model-48,0.118,8br9-model-48_A_Z
8br9-model-49,0.0945,8br9-model-49_A_Z
8br9-model-5,0.1914,8br9-model-5_A_Z
8br9-model-50,0.0761,8br9-model-50_A_Z
8br9-model-51,0.1327,8br9-model-51_A_Z
8br9-model-52,0.0815,8br9-model-52_A_Z
8br9-model-53,0.6598,8br9-model-53_A_Z
8br9-model-54,0.2946,8br9-model-54_A_Z
8br9-model-55,0.0873,8br9-model-55_A_Z
8br9-model-56,0.1693,8br9-model-56_A_Z
8br9-model-57,0.1155,8br9-model-57_A_Z
8br9-model-58,0.0744,8br9-model-58_A_Z
8br9-model-59,0.0897,8br9-model-59_A_Z
8br9-model-6,0.0831,8br9-model-6_A_Z
8br9-model-60,0.1947,8br9-model-60_A_Z
8br9-model-61,0.1614,8br9-model-61_A_Z
8br9-model-62,0.7137,8br9-model-62_A_Z
8br9-model-63,0.109,8br9-model-63_A_Z
8br9-model-64,0.1197,8br9-model-64_A_Z
8br9-model-65,0.1121,8br9-model-65_A_Z
8br9-model-66,0.1059,8br9-model-66_A_Z
8br9-model-67,0.0739,8br9-model-67_A_Z
8br9-model-68,0.1612,8br9-model-68_A_Z
8br9-model-69,0.1252,8br9-model-69_A_Z
8br9-model-7,0.1398,8br9-model-7_A_Z
8br9-model-70,0.0937,8br9-model-70_A_Z
8br9-model-71,0.1051,8br9-model-71_A_Z
8br9-model-72,0.0989,8br9-model-72_A_Z
8br9-model-73,0.2439,8br9-model-73_A_Z
8br9-model-74,0.076,8br9-model-74_A_Z
8br9-model-75,0.2033,8br9-model-75_A_Z
8br9-model-76,0.0789,8br9-model-76_A_Z
8br9-model-77,0.1637,8br9-model-77_A_Z
8br9-model-78,0.1618,8br9-model-78_A_Z
8br9-model-79,0.363,8br9-model-79_A_Z
8br9-model-8,0.2408,8br9-model-8_A_Z
8br9-model-80,0.0841,8br9-model-80_A_Z
8br9-model-81,0.137,8br9-model-81_A_Z
8br9-model-82,0.3082,8br9-model-82_A_Z
8br9-model-83,0.2798,8br9-model-83_A_Z
8br9-model-84,0.1173,8br9-model-84_A_Z
8br9-model-85,0.513,8br9-model-85_A_Z
8br9-model-86,0.5791,8br9-model-86_A_Z
8br9-model-87,0.5116,8br9-model-87_A_Z
8br9-model-88,0.232,8br9-model-88_A_Z
8br9-model-89,0.0663,8br9-model-89_A_Z
8br9-model-9,0.0689,8br9-model-9_A_Z
8br9-model-90,0.0892,8br9-model-90_A_Z
8br9-model-91,0.5313,8br9-model-91_A_Z
8br9-model-92,0.2304,8br9-model-92_A_Z
8br9-model-93,0.0844,8br9-model-93_A_Z
8br9-model-94,0.6009,8br9-model-94_A_Z
8br9-model-95,0.1819,8br9-model-95_A_Z
8br9-model-96,0.1885,8br9-model-96_A_Z
8br9-model-97,0.2705,8br9-model-97_A_Z
8br9-model-98,0.0818,8br9-model-98_A_Z
8br9-model-99,0.1114,8br9-model-99_A_Z
8c8p-model-1,0.081,8c8p-model-1_A_Z
8c8p-model-10,0.2274,8c8p-model-10_A_Z
8c8p-model-100,0.2274,8c8p-model-100_A_Z
8c8p-model-11,0.0955,8c8p-model-11_A_Z
8c8p-model-12,0.0798,8c8p-model-12_A_Z
8c8p-model-13,0.0979,8c8p-model-13_A_Z
8c8p-model-14,0.2645,8c8p-model-14_A_Z
8c8p-model-15,0.1086,8c8p-model-15_A_Z
8c8p-model-16,0.2061,8c8p-model-16_A_Z
8c8p-model-17,0.2446,8c8p-model-17_A_Z
8c8p-model-18,0.2274,8c8p-model-18_A_Z
8c8p-model-19,0.2634,8c8p-model-19_A_Z
8c8p-model-2,0.0881,8c8p-model-2_A_Z
8c8p-model-20,0.1029,8c8p-model-20_A_Z
8c8p-model-21,0.1792,8c8p-model-21_A_Z
8c8p-model-22,0.1051,8c8p-model-22_A_Z
8c8p-model-23,0.2287,8c8p-model-23_A_Z
8c8p-model-24,0.1945,8c8p-model-24_A_Z
8c8p-model-25,0.0896,8c8p-model-25_A_Z
8c8p-model-26,0.11,8c8p-model-26_A_Z
8c8p-model-27,0.0842,8c8p-model-27_A_Z
8c8p-model-28,0.1845,8c8p-model-28_A_Z
8c8p-model-29,0.1312,8c8p-model-29_A_Z
8c8p-model-3,0.1227,8c8p-model-3_A_Z
8c8p-model-30,0.4687,8c8p-model-30_A_Z
8c8p-model-31,0.1009,8c8p-model-31_A_Z
8c8p-model-32,0.1122,8c8p-model-32_A_Z
8c8p-model-33,0.1348,8c8p-model-33_A_Z
8c8p-model-34,0.2274,8c8p-model-34_A_Z
8c8p-model-35,0.161,8c8p-model-35_A_Z
8c8p-model-36,0.101,8c8p-model-36_A_Z
8c8p-model-37,0.1117,8c8p-model-37_A_Z
8c8p-model-38,0.055,8c8p-model-38_A_Z
8c8p-model-39,0.0827,8c8p-model-39_A_Z
8c8p-model-4,0.2274,8c8p-model-4_A_Z
8c8p-model-40,0.0756,8c8p-model-40_A_Z
8c8p-model-41,0.1352,8c8p-model-41_A_Z
8c8p-model-42,0.2043,8c8p-model-42_A_Z
8c8p-model-43,0.2274,8c8p-model-43_A_Z
8c8p-model-44,0.2596,8c8p-model-44_A_Z
8c8p-model-45,0.1949,8c8p-model-45_A_Z
8c8p-model-46,0.2274,8c8p-model-46_A_Z
8c8p-model-47,0.2592,8c8p-model-47_A_Z
8c8p-model-48,0.2196,8c8p-model-48_A_Z
8c8p-model-49,0.1121,8c8p-model-49_A_Z
8c8p-model-5,0.1168,8c8p-model-5_A_Z
8c8p-model-50,0.289,8c8p-model-50_A_Z
8c8p-model-51,0.2025,8c8p-model-51_A_Z
8c8p-model-52,0.2274,8c8p-model-52_A_Z
8c8p-model-53,0.1819,8c8p-model-53_A_Z
8c8p-model-54,0.1445,8c8p-model-54_A_Z
8c8p-model-55,0.2505,8c8p-model-55_A_Z
8c8p-model-56,0.0922,8c8p-model-56_A_Z
8c8p-model-57,0.2274,8c8p-model-57_A_Z
8c8p-model-58,0.2274,8c8p-model-58_A_Z
8c8p-model-59,0.2087,8c8p-model-59_A_Z
8c8p-model-6,0.0622,8c8p-model-6_A_Z
8c8p-model-60,0.2274,8c8p-model-60_A_Z
8c8p-model-61,0.1798,8c8p-model-61_A_Z
8c8p-model-62,0.0987,8c8p-model-62_A_Z
8c8p-model-63,0.0981,8c8p-model-63_A_Z
8c8p-model-64,0.0955,8c8p-model-64_A_Z
8c8p-model-65,0.2568,8c8p-model-65_A_Z
8c8p-model-66,0.2274,8c8p-model-66_A_Z
8c8p-model-67,0.0884,8c8p-model-67_A_Z
8c8p-model-68,0.0873,8c8p-model-68_A_Z
8c8p-model-69,0.5433,8c8p-model-69_A_Z
8c8p-model-7,0.1419,8c8p-model-7_A_Z
8c8p-model-70,0.1941,8c8p-model-70_A_Z
8c8p-model-71,0.0862,8c8p-model-71_A_Z
8c8p-model-72,0.1893,8c8p-model-72_A_Z
8c8p-model-73,0.0963,8c8p-model-73_A_Z
8c8p-model-74,0.1906,8c8p-model-74_A_Z
8c8p-model-75,0.1612,8c8p-model-75_A_Z
8c8p-model-76,0.2274,8c8p-model-76_A_Z
8c8p-model-77,0.1243,8c8p-model-77_A_Z
8c8p-model-78,0.0996,8c8p-model-78_A_Z
8c8p-model-79,0.2032,8c8p-model-79_A_Z
8c8p-model-8,0.1906,8c8p-model-8_A_Z
8c8p-model-80,0.2274,8c8p-model-80_A_Z
8c8p-model-81,0.1544,8c8p-model-81_A_Z
8c8p-model-82,0.1887,8c8p-model-82_A_Z
8c8p-model-83,0.1263,8c8p-model-83_A_Z
8c8p-model-84,0.1209,8c8p-model-84_A_Z
8c8p-model-85,0.2274,8c8p-model-85_A_Z
8c8p-model-86,0.2274,8c8p-model-86_A_Z
8c8p-model-87,0.1448,8c8p-model-87_A_Z
8c8p-model-88,0.247,8c8p-model-88_A_Z
8c8p-model-89,0.2274,8c8p-model-89_A_Z
8c8p-model-9,0.1069,8c8p-model-9_A_Z
8c8p-model-90,0.1657,8c8p-model-90_A_Z
8c8p-model-91,0.2274,8c8p-model-91_A_Z
8c8p-model-92,0.2952,8c8p-model-92_A_Z
8c8p-model-93,0.1467,8c8p-model-93_A_Z
8c8p-model-94,0.2274,8c8p-model-94_A_Z
8c8p-model-95,0.4578,8c8p-model-95_A_Z
8c8p-model-96,0.1086,8c8p-model-96_A_Z
8c8p-model-97,0.0937,8c8p-model-97_A_Z
8c8p-model-98,0.2274,8c8p-model-98_A_Z
8c8p-model-99,0.1527,8c8p-model-99_A_Z
8ct8-model-1,0.1324,8ct8-model-1_A_Z
8ct8-model-10,0.2274,8ct8-model-10_A_Z
8ct8-model-100,0.1104,8ct8-model-100_A_Z
8ct8-model-11,0.1472,8ct8-model-11_A_Z
8ct8-model-12,0.157,8ct8-model-12_A_Z
8ct8-model-13,0.2761,8ct8-model-13_A_Z
8ct8-model-14,0.1095,8ct8-model-14_A_Z
8ct8-model-15,0.0891,8ct8-model-15_A_Z
8ct8-model-16,0.3002,8ct8-model-16_A_Z
8ct8-model-17,0.2148,8ct8-model-17_A_Z
8ct8-model-18,0.1088,8ct8-model-18_A_Z
8ct8-model-19,0.0858,8ct8-model-19_A_Z
8ct8-model-2,0.1014,8ct8-model-2_A_Z
8ct8-model-20,0.0881,8ct8-model-20_A_Z
8ct8-model-21,0.1238,8ct8-model-21_A_Z
8ct8-model-22,0.2301,8ct8-model-22_A_Z
8ct8-model-23,0.1319,8ct8-model-23_A_Z
8ct8-model-24,0.0997,8ct8-model-24_A_Z
8ct8-model-25,0.2286,8ct8-model-25_A_Z
8ct8-model-26,0.1988,8ct8-model-26_A_Z
8ct8-model-27,0.2274,8ct8-model-27_A_Z
8ct8-model-28,0.1922,8ct8-model-28_A_Z
8ct8-model-29,0.1411,8ct8-model-29_A_Z
8ct8-model-3,0.1474,8ct8-model-3_A_Z
8ct8-model-30,0.4088,8ct8-model-30_A_Z
8ct8-model-31,0.1936,8ct8-model-31_A_Z
8ct8-model-32,0.0813,8ct8-model-32_A_Z
8ct8-model-33,0.2323,8ct8-model-33_A_Z
8ct8-model-34,0.2274,8ct8-model-34_A_Z
8ct8-model-35,0.233,8ct8-model-35_A_Z
8ct8-model-36,0.1092,8ct8-model-36_A_Z
8ct8-model-37,0.2501,8ct8-model-37_A_Z
8ct8-model-38,0.0985,8ct8-model-38_A_Z
8ct8-model-39,0.2553,8ct8-model-39_A_Z
8ct8-model-4,0.1635,8ct8-model-4_A_Z
8ct8-model-40,0.1381,8ct8-model-40_A_Z
8ct8-model-41,0.0643,8ct8-model-41_A_Z
8ct8-model-42,0.2274,8ct8-model-42_A_Z
8ct8-model-43,0.159,8ct8-model-43_A_Z
8ct8-model-44,0.1643,8ct8-model-44_A_Z
8ct8-model-45,0.1125,8ct8-model-45_A_Z
8ct8-model-46,0.2983,8ct8-model-46_A_Z
8ct8-model-47,0.0889,8ct8-model-47_A_Z
8ct8-model-48,0.105,8ct8-model-48_A_Z
8ct8-model-49,0.1395,8ct8-model-49_A_Z
8ct8-model-5,0.2148,8ct8-model-5_A_Z
8ct8-model-50,0.0847,8ct8-model-50_A_Z
8ct8-model-51,0.1453,8ct8-model-51_A_Z
8ct8-model-52,0.2246,8ct8-model-52_A_Z
8ct8-model-53,0.1297,8ct8-model-53_A_Z
8ct8-model-54,0.1241,8ct8-model-54_A_Z
8ct8-model-55,0.0494,8ct8-model-55_A_Z
8ct8-model-56,0.2274,8ct8-model-56_A_Z
8ct8-model-57,0.1355,8ct8-model-57_A_Z
8ct8-model-58,0.2026,8ct8-model-58_A_Z
8ct8-model-59,0.1054,8ct8-model-59_A_Z
8ct8-model-6,0.089,8ct8-model-6_A_Z
8ct8-model-60,0.2274,8ct8-model-60_A_Z
8ct8-model-61,0.0943,8ct8-model-61_A_Z
8ct8-model-62,0.2824,8ct8-model-62_A_Z
8ct8-model-63,0.1438,8ct8-model-63_A_Z
8ct8-model-64,0.2274,8ct8-model-64_A_Z
8ct8-model-65,0.2336,8ct8-model-65_A_Z
8ct8-model-66,0.0906,8ct8-model-66_A_Z
8ct8-model-67,0.1852,8ct8-model-67_A_Z
8ct8-model-68,0.1117,8ct8-model-68_A_Z
8ct8-model-69,0.1045,8ct8-model-69_A_Z
8ct8-model-7,0.1248,8ct8-model-7_A_Z
8ct8-model-70,0.0968,8ct8-model-70_A_Z
8ct8-model-71,0.0736,8ct8-model-71_A_Z
8ct8-model-72,0.1423,8ct8-model-72_A_Z
8ct8-model-73,0.2833,8ct8-model-73_A_Z
8ct8-model-74,0.4088,8ct8-model-74_A_Z
8ct8-model-75,0.0758,8ct8-model-75_A_Z
8ct8-model-76,0.2702,8ct8-model-76_A_Z
8ct8-model-77,0.1191,8ct8-model-77_A_Z
8ct8-model-78,0.0961,8ct8-model-78_A_Z
8ct8-model-79,0.0846,8ct8-model-79_A_Z
8ct8-model-8,0.2274,8ct8-model-8_A_Z
8ct8-model-80,0.4805,8ct8-model-80_A_Z
8ct8-model-81,0.2055,8ct8-model-81_A_Z
8ct8-model-82,0.3055,8ct8-model-82_A_Z
8ct8-model-83,0.1261,8ct8-model-83_A_Z
8ct8-model-84,0.0844,8ct8-model-84_A_Z
8ct8-model-85,0.2286,8ct8-model-85_A_Z
8ct8-model-86,0.1278,8ct8-model-86_A_Z
8ct8-model-87,0.0789,8ct8-model-87_A_Z
8ct8-model-88,0.0928,8ct8-model-88_A_Z
8ct8-model-89,0.1371,8ct8-model-89_A_Z
8ct8-model-9,0.142,8ct8-model-9_A_Z
8ct8-model-90,0.2446,8ct8-model-90_A_Z
8ct8-model-91,0.0846,8ct8-model-91_A_Z
8ct8-model-92,0.0786,8ct8-model-92_A_Z
8ct8-model-93,0.089,8ct8-model-93_A_Z
8ct8-model-94,0.1585,8ct8-model-94_A_Z
8ct8-model-95,0.2408,8ct8-model-95_A_Z
8ct8-model-96,0.2274,8ct8-model-96_A_Z
8ct8-model-97,0.0919,8ct8-model-97_A_Z
8ct8-model-98,0.2061,8ct8-model-98_A_Z
8ct8-model-99,0.1207,8ct8-model-99_A_Z
8cxr-model-1,0.4492,8cxr-model-1_A_Z
8cxr-model-10,0.3154,8cxr-model-10_A_Z
8cxr-model-100,0.5467,8cxr-model-100_A_Z
8cxr-model-11,0.2876,8cxr-model-11_A_Z
8cxr-model-12,0.6587,8cxr-model-12_A_Z
8cxr-model-13,0.5753,8cxr-model-13_A_Z
8cxr-model-14,0.2309,8cxr-model-14_A_Z
8cxr-model-15,0.2684,8cxr-model-15_A_Z
8cxr-model-16,0.2501,8cxr-model-16_A_Z
8cxr-model-17,0.3271,8cxr-model-17_A_Z
8cxr-model-18,0.2773,8cxr-model-18_A_Z
8cxr-model-19,0.252,8cxr-model-19_A_Z
8cxr-model-2,0.5462,8cxr-model-2_A_Z
8cxr-model-20,0.3684,8cxr-model-20_A_Z
8cxr-model-21,0.259,8cxr-model-21_A_Z
8cxr-model-22,0.2696,8cxr-model-22_A_Z
8cxr-model-23,0.1298,8cxr-model-23_A_Z
8cxr-model-24,0.2325,8cxr-model-24_A_Z
8cxr-model-25,0.2659,8cxr-model-25_A_Z
8cxr-model-26,0.2372,8cxr-model-26_A_Z
8cxr-model-27,0.2274,8cxr-model-27_A_Z
8cxr-model-28,0.2486,8cxr-model-28_A_Z
8cxr-model-29,0.2353,8cxr-model-29_A_Z
8cxr-model-3,0.1584,8cxr-model-3_A_Z
8cxr-model-30,0.299,8cxr-model-30_A_Z
8cxr-model-31,0.3434,8cxr-model-31_A_Z
8cxr-model-32,0.372,8cxr-model-32_A_Z
8cxr-model-33,0.2274,8cxr-model-33_A_Z
8cxr-model-34,0.2328,8cxr-model-34_A_Z
8cxr-model-35,0.2413,8cxr-model-35_A_Z
8cxr-model-36,0.2408,8cxr-model-36_A_Z
8cxr-model-37,0.2588,8cxr-model-37_A_Z
8cxr-model-38,0.1358,8cxr-model-38_A_Z
8cxr-model-39,0.2373,8cxr-model-39_A_Z
8cxr-model-4,0.435,8cxr-model-4_A_Z
8cxr-model-40,0.2814,8cxr-model-40_A_Z
8cxr-model-41,0.2849,8cxr-model-41_A_Z
8cxr-model-42,0.233,8cxr-model-42_A_Z
8cxr-model-43,0.2987,8cxr-model-43_A_Z
8cxr-model-44,0.2274,8cxr-model-44_A_Z
8cxr-model-45,0.2709,8cxr-model-45_A_Z
8cxr-model-46,0.3641,8cxr-model-46_A_Z
8cxr-model-47,0.3832,8cxr-model-47_A_Z
8cxr-model-48,0.2601,8cxr-model-48_A_Z
8cxr-model-49,0.2334,8cxr-model-49_A_Z
8cxr-model-5,0.2385,8cxr-model-5_A_Z
8cxr-model-50,0.1317,8cxr-model-50_A_Z
8cxr-model-51,0.2419,8cxr-model-51_A_Z
8cxr-model-52,0.2274,8cxr-model-52_A_Z
8cxr-model-53,0.331,8cxr-model-53_A_Z
8cxr-model-54,0.2813,8cxr-model-54_A_Z
8cxr-model-55,0.3487,8cxr-model-55_A_Z
8cxr-model-56,0.2741,8cxr-model-56_A_Z
8cxr-model-57,0.2274,8cxr-model-57_A_Z
8cxr-model-58,0.3691,8cxr-model-58_A_Z
8cxr-model-59,0.2274,8cxr-model-59_A_Z
8cxr-model-6,0.2582,8cxr-model-6_A_Z
8cxr-model-60,0.2598,8cxr-model-60_A_Z
8cxr-model-61,0.2525,8cxr-model-61_A_Z
8cxr-model-62,0.2274,8cxr-model-62_A_Z
8cxr-model-63,0.2274,8cxr-model-63_A_Z
8cxr-model-64,0.6021,8cxr-model-64_A_Z
8cxr-model-65,0.2567,8cxr-model-65_A_Z
8cxr-model-66,0.3795,8cxr-model-66_A_Z
8cxr-model-67,0.2929,8cxr-model-67_A_Z
8cxr-model-68,0.2944,8cxr-model-68_A_Z
8cxr-model-69,0.2479,8cxr-model-69_A_Z
8cxr-model-7,0.3462,8cxr-model-7_A_Z
8cxr-model-70,0.587,8cxr-model-70_A_Z
8cxr-model-71,0.2309,8cxr-model-71_A_Z
8cxr-model-72,0.3476,8cxr-model-72_A_Z
8cxr-model-73,0.2274,8cxr-model-73_A_Z
8cxr-model-74,0.1271,8cxr-model-74_A_Z
8cxr-model-75,0.2301,8cxr-model-75_A_Z
8cxr-model-76,0.3445,8cxr-model-76_A_Z
8cxr-model-77,0.3968,8cxr-model-77_A_Z
8cxr-model-78,0.3948,8cxr-model-78_A_Z
8cxr-model-79,0.3994,8cxr-model-79_A_Z
8cxr-model-8,0.2831,8cxr-model-8_A_Z
8cxr-model-80,0.6201,8cxr-model-80_A_Z
8cxr-model-81,0.2866,8cxr-model-81_A_Z
8cxr-model-82,0.2598,8cxr-model-82_A_Z
8cxr-model-83,0.2328,8cxr-model-83_A_Z
8cxr-model-84,0.2287,8cxr-model-84_A_Z
8cxr-model-85,0.3247,8cxr-model-85_A_Z
8cxr-model-86,0.2304,8cxr-model-86_A_Z
8cxr-model-87,0.2757,8cxr-model-87_A_Z
8cxr-model-88,0.1597,8cxr-model-88_A_Z
8cxr-model-89,0.3455,8cxr-model-89_A_Z
8cxr-model-9,0.3475,8cxr-model-9_A_Z
8cxr-model-90,0.3258,8cxr-model-90_A_Z
8cxr-model-91,0.2315,8cxr-model-91_A_Z
8cxr-model-92,0.2274,8cxr-model-92_A_Z
8cxr-model-93,0.278,8cxr-model-93_A_Z
8cxr-model-94,0.2327,8cxr-model-94_A_Z
8cxr-model-95,0.2428,8cxr-model-95_A_Z
8cxr-model-96,0.2274,8cxr-model-96_A_Z
8cxr-model-97,0.1371,8cxr-model-97_A_Z
8cxr-model-98,0.2374,8cxr-model-98_A_Z
8cxr-model-99,0.3393,8cxr-model-99_A_Z
8cyi-model-1,0.1541,8cyi-model-1_A_Z
8cyi-model-10,0.225,8cyi-model-10_A_Z
8cyi-model-100,0.1262,8cyi-model-100_A_Z
8cyi-model-11,0.2274,8cyi-model-11_A_Z
8cyi-model-12,0.1009,8cyi-model-12_A_Z
8cyi-model-13,0.2756,8cyi-model-13_A_Z
8cyi-model-14,0.3307,8cyi-model-14_A_Z
8cyi-model-15,0.0966,8cyi-model-15_A_Z
8cyi-model-16,0.2507,8cyi-model-16_A_Z
8cyi-model-17,0.1091,8cyi-model-17_A_Z
8cyi-model-18,0.2086,8cyi-model-18_A_Z
8cyi-model-19,0.0976,8cyi-model-19_A_Z
8cyi-model-2,0.0612,8cyi-model-2_A_Z
8cyi-model-20,0.0885,8cyi-model-20_A_Z
8cyi-model-21,0.1311,8cyi-model-21_A_Z
8cyi-model-22,0.0995,8cyi-model-22_A_Z
8cyi-model-23,0.0803,8cyi-model-23_A_Z
8cyi-model-24,0.1385,8cyi-model-24_A_Z
8cyi-model-25,0.1081,8cyi-model-25_A_Z
8cyi-model-26,0.2458,8cyi-model-26_A_Z
8cyi-model-27,0.2274,8cyi-model-27_A_Z
8cyi-model-28,0.13,8cyi-model-28_A_Z
8cyi-model-29,0.1137,8cyi-model-29_A_Z
8cyi-model-3,0.2682,8cyi-model-3_A_Z
8cyi-model-30,0.2274,8cyi-model-30_A_Z
8cyi-model-31,0.135,8cyi-model-31_A_Z
8cyi-model-32,0.2274,8cyi-model-32_A_Z
8cyi-model-33,0.0906,8cyi-model-33_A_Z
8cyi-model-34,0.2274,8cyi-model-34_A_Z
8cyi-model-35,0.1275,8cyi-model-35_A_Z
8cyi-model-36,0.1147,8cyi-model-36_A_Z
8cyi-model-37,0.2103,8cyi-model-37_A_Z
8cyi-model-38,0.2277,8cyi-model-38_A_Z
8cyi-model-39,0.1151,8cyi-model-39_A_Z
8cyi-model-4,0.1774,8cyi-model-4_A_Z
8cyi-model-40,0.257,8cyi-model-40_A_Z
8cyi-model-41,0.0843,8cyi-model-41_A_Z
8cyi-model-42,0.2274,8cyi-model-42_A_Z
8cyi-model-43,0.2652,8cyi-model-43_A_Z
8cyi-model-44,0.2328,8cyi-model-44_A_Z
8cyi-model-45,0.0797,8cyi-model-45_A_Z
8cyi-model-46,0.074,8cyi-model-46_A_Z
8cyi-model-47,0.2274,8cyi-model-47_A_Z
